 2017-06-13 11:16:16 INFO: initializing ciphers... rc4-md5
 2017-06-13 11:16:16 INFO: tcp port reuse enabled
 2017-06-13 11:16:16 INFO: listening at 127.0.0.1:1080
 2017-06-13 15:30:04 ERROR: remote_recv_cb_recv: Connection reset by peer
 2017-06-13 15:32:41 ERROR: remote_recv_cb_recv: Connection reset by peer
 2017-06-13 15:32:41 ERROR: remote_recv_cb_recv: Connection reset by peer
 2017-06-13 15:32:56 ERROR: remote_recv_cb_recv: Connection reset by peer
 2017-06-13 15:42:22 ERROR: remote_recv_cb_recv: Connection reset by peer
 2017-06-13 15:42:25 ERROR: remote_recv_cb_recv: Connection reset by peer
 2017-06-13 15:42:26 ERROR: remote_recv_cb_recv: Connection reset by peer
 2017-06-13 15:42:33 ERROR: remote_recv_cb_recv: Connection reset by peer
 2017-06-13 15:42:35 ERROR: remote_recv_cb_recv: Connection reset by peer
 2017-06-13 15:42:48 ERROR: getpeername: Transport endpoint is not connected
 2017-06-13 15:42:48 ERROR: getpeername: Transport endpoint is not connected
 2017-06-13 15:42:48 ERROR: getpeername: Transport endpoint is not connected
 2017-06-13 15:42:48 ERROR: getpeername: Transport endpoint is not connected
 2017-06-13 15:42:48 ERROR: getpeername: Transport endpoint is not connected
 2017-06-13 15:42:48 ERROR: getpeername: Transport endpoint is not connected
 2017-06-13 15:42:48 ERROR: getpeername: Transport endpoint is not connected
 2017-06-13 15:42:49 ERROR: getpeername: Transport endpoint is not connected
 2017-06-13 15:42:49 ERROR: getpeername: Transport endpoint is not connected
 2017-06-13 15:42:50 ERROR: getpeername: Transport endpoint is not connected
 2017-06-13 15:42:55 ERROR: getpeername: Transport endpoint is not connected
 2017-06-13 15:42:55 ERROR: getpeername: Transport endpoint is not connected
 2017-06-13 15:42:55 ERROR: getpeername: Transport endpoint is not connected
 2017-06-13 15:42:55 ERROR: getpeername: Transport endpoint is not connected
 2017-06-13 15:42:55 ERROR: getpeername: Transport endpoint is not connected
 2017-06-13 15:42:55 ERROR: getpeername: Transport endpoint is not connected
 2017-06-13 15:42:55 ERROR: getpeername: Transport endpoint is not connected
 2017-06-13 15:42:55 ERROR: getpeername: Transport endpoint is not connected
 2017-06-13 15:42:55 ERROR: getpeername: Transport endpoint is not connected
 2017-06-13 15:42:55 ERROR: getpeername: Transport endpoint is not connected
 2017-06-13 15:43:19 ERROR: getpeername: Transport endpoint is not connected
 2017-06-13 15:43:20 ERROR: getpeername: Transport endpoint is not connected
 2017-06-13 15:45:30 ERROR: getpeername: Transport endpoint is not connected
 2017-06-13 15:45:33 ERROR: getpeername: Transport endpoint is not connected
 2017-06-13 15:45:36 ERROR: getpeername: Transport endpoint is not connected
 2017-06-13 15:45:39 ERROR: getpeername: Transport endpoint is not connected
 2017-06-13 15:45:42 ERROR: getpeername: Transport endpoint is not connected
 2017-06-13 15:45:45 ERROR: getpeername: Transport endpoint is not connected
 2017-06-13 15:45:48 ERROR: getpeername: Transport endpoint is not connected
 2017-06-13 15:45:51 ERROR: getpeername: Transport endpoint is not connected
 2017-06-13 15:45:54 ERROR: getpeername: Transport endpoint is not connected
 2017-06-13 15:45:57 ERROR: getpeername: Transport endpoint is not connected
 2017-06-13 15:46:00 ERROR: getpeername: Transport endpoint is not connected
 2017-06-13 15:46:03 ERROR: getpeername: Transport endpoint is not connected
 2017-06-13 15:46:06 ERROR: getpeername: Transport endpoint is not connected
 2017-06-13 15:46:09 ERROR: getpeername: Transport endpoint is not connected
 2017-06-13 15:46:12 ERROR: getpeername: Transport endpoint is not connected
 2017-06-13 15:46:15 ERROR: getpeername: Transport endpoint is not connected
 2017-06-13 15:46:18 ERROR: getpeername: Transport endpoint is not connected
 2017-06-13 15:46:21 ERROR: getpeername: Transport endpoint is not connected
 2017-06-13 15:46:24 ERROR: getpeername: Transport endpoint is not connected
 2017-06-13 15:46:27 ERROR: getpeername: Transport endpoint is not connected
 2017-06-13 15:46:42 ERROR: getpeername: Transport endpoint is not connected
 2017-06-13 15:46:45 ERROR: getpeername: Transport endpoint is not connected
 2017-06-13 15:46:48 ERROR: getpeername: Transport endpoint is not connected
 2017-06-13 15:46:51 ERROR: getpeername: Transport endpoint is not connected
 2017-06-13 15:46:54 ERROR: getpeername: Transport endpoint is not connected
 2017-06-13 15:46:57 ERROR: getpeername: Transport endpoint is not connected
 2017-06-13 15:47:00 ERROR: getpeername: Transport endpoint is not connected
 2017-06-13 15:47:03 ERROR: getpeername: Transport endpoint is not connected
 2017-06-13 15:47:06 ERROR: getpeername: Transport endpoint is not connected
 2017-06-13 15:47:09 ERROR: getpeername: Transport endpoint is not connected
 2017-06-13 15:47:12 ERROR: getpeername: Transport endpoint is not connected
 2017-06-13 15:47:15 ERROR: getpeername: Transport endpoint is not connected
 2017-06-13 15:47:18 ERROR: getpeername: Transport endpoint is not connected
 2017-06-13 15:47:21 ERROR: getpeername: Transport endpoint is not connected
 2017-06-13 15:47:24 ERROR: getpeername: Transport endpoint is not connected
 2017-06-13 15:47:27 ERROR: getpeername: Transport endpoint is not connected
 2017-06-13 15:47:30 ERROR: getpeername: Transport endpoint is not connected
 2017-06-13 15:47:33 ERROR: getpeername: Transport endpoint is not connected
 2017-06-13 15:47:36 ERROR: getpeername: Transport endpoint is not connected
 2017-06-13 15:47:39 ERROR: getpeername: Transport endpoint is not connected
 2017-06-13 15:47:42 ERROR: getpeername: Transport endpoint is not connected
 2017-06-13 15:47:42 ERROR: getpeername: Transport endpoint is not connected
 2017-06-13 15:47:45 ERROR: getpeername: Transport endpoint is not connected
 2017-06-13 15:47:45 ERROR: getpeername: Transport endpoint is not connected
 2017-06-13 15:47:48 ERROR: getpeername: Transport endpoint is not connected
 2017-06-13 15:47:48 ERROR: getpeername: Transport endpoint is not connected
 2017-06-13 15:47:51 ERROR: getpeername: Transport endpoint is not connected
 2017-06-13 15:47:51 ERROR: getpeername: Transport endpoint is not connected
 2017-06-13 15:47:54 ERROR: getpeername: Transport endpoint is not connected
 2017-06-13 15:47:54 ERROR: getpeername: Transport endpoint is not connected
 2017-06-13 15:47:57 ERROR: getpeername: Transport endpoint is not connected
 2017-06-13 15:47:57 ERROR: getpeername: Transport endpoint is not connected
 2017-06-13 15:48:00 ERROR: getpeername: Transport endpoint is not connected
 2017-06-13 15:48:00 ERROR: getpeername: Transport endpoint is not connected
 2017-06-13 15:48:03 ERROR: getpeername: Transport endpoint is not connected
 2017-06-13 15:48:03 ERROR: getpeername: Transport endpoint is not connected
 2017-06-13 15:48:06 ERROR: getpeername: Transport endpoint is not connected
 2017-06-13 15:48:06 ERROR: getpeername: Transport endpoint is not connected
 2017-06-13 15:48:09 ERROR: getpeername: Transport endpoint is not connected
 2017-06-13 15:48:09 ERROR: getpeername: Transport endpoint is not connected
 2017-06-13 15:49:21 ERROR: getpeername: Transport endpoint is not connected
 2017-06-13 15:49:24 ERROR: getpeername: Transport endpoint is not connected
 2017-06-13 15:49:27 ERROR: getpeername: Transport endpoint is not connected
 2017-06-13 15:49:30 ERROR: getpeername: Transport endpoint is not connected
 2017-06-13 15:49:33 ERROR: getpeername: Transport endpoint is not connected
 2017-06-13 15:49:36 ERROR: getpeername: Transport endpoint is not connected
 2017-06-13 15:49:39 ERROR: getpeername: Transport endpoint is not connected
 2017-06-13 15:49:42 ERROR: getpeername: Transport endpoint is not connected
 2017-06-13 15:49:45 ERROR: getpeername: Transport endpoint is not connected
 2017-06-13 15:49:48 ERROR: getpeername: Transport endpoint is not connected
 2017-06-13 15:51:54 ERROR: getpeername: Transport endpoint is not connected
 2017-06-13 15:51:57 ERROR: getpeername: Transport endpoint is not connected
 2017-06-13 15:52:00 ERROR: getpeername: Transport endpoint is not connected
 2017-06-13 15:52:03 ERROR: getpeername: Transport endpoint is not connected
 2017-06-13 15:52:06 ERROR: getpeername: Transport endpoint is not connected
 2017-06-13 15:52:09 ERROR: getpeername: Transport endpoint is not connected
 2017-06-13 15:52:12 ERROR: getpeername: Transport endpoint is not connected
 2017-06-13 15:52:15 ERROR: getpeername: Transport endpoint is not connected
 2017-06-13 15:52:18 ERROR: getpeername: Transport endpoint is not connected
 2017-06-13 15:52:21 ERROR: getpeername: Transport endpoint is not connected
 2017-06-13 15:52:21 ERROR: getpeername: Transport endpoint is not connected
 2017-06-13 15:52:24 ERROR: getpeername: Transport endpoint is not connected
 2017-06-13 15:52:27 ERROR: getpeername: Transport endpoint is not connected
 2017-06-13 15:52:30 ERROR: getpeername: Transport endpoint is not connected
 2017-06-13 15:52:33 ERROR: getpeername: Transport endpoint is not connected
 2017-06-13 15:52:36 ERROR: getpeername: Transport endpoint is not connected
 2017-06-13 15:52:39 ERROR: getpeername: Transport endpoint is not connected
 2017-06-13 15:52:42 ERROR: getpeername: Transport endpoint is not connected
 2017-06-13 15:52:45 ERROR: getpeername: Transport endpoint is not connected
 2017-06-13 15:52:48 ERROR: getpeername: Transport endpoint is not connected
 2017-06-13 15:57:39 ERROR: getpeername: Transport endpoint is not connected
 2017-06-13 15:57:42 ERROR: getpeername: Transport endpoint is not connected
 2017-06-13 15:57:45 ERROR: getpeername: Transport endpoint is not connected
 2017-06-13 15:57:48 ERROR: getpeername: Transport endpoint is not connected
 2017-06-13 15:57:51 ERROR: getpeername: Transport endpoint is not connected
 2017-06-13 15:57:54 ERROR: getpeername: Transport endpoint is not connected
 2017-06-13 15:57:57 ERROR: getpeername: Transport endpoint is not connected
 2017-06-13 15:58:00 ERROR: getpeername: Transport endpoint is not connected
 2017-06-13 15:58:00 ERROR: getpeername: Transport endpoint is not connected
 2017-06-13 15:58:03 ERROR: getpeername: Transport endpoint is not connected
 2017-06-13 15:58:03 ERROR: getpeername: Transport endpoint is not connected
 2017-06-13 15:58:06 ERROR: getpeername: Transport endpoint is not connected
 2017-06-13 15:58:06 ERROR: getpeername: Transport endpoint is not connected
 2017-06-13 15:58:09 ERROR: getpeername: Transport endpoint is not connected
 2017-06-13 15:58:09 ERROR: getpeername: Transport endpoint is not connected
 2017-06-13 15:58:12 ERROR: getpeername: Transport endpoint is not connected
 2017-06-13 15:58:12 ERROR: getpeername: Transport endpoint is not connected
 2017-06-13 15:58:15 ERROR: getpeername: Transport endpoint is not connected
 2017-06-13 15:58:15 ERROR: getpeername: Transport endpoint is not connected
 2017-06-13 15:58:18 ERROR: getpeername: Transport endpoint is not connected
 2017-06-13 15:58:18 ERROR: getpeername: Transport endpoint is not connected
 2017-06-13 15:58:21 ERROR: getpeername: Transport endpoint is not connected
 2017-06-13 15:58:21 ERROR: getpeername: Transport endpoint is not connected
 2017-06-13 15:58:24 ERROR: getpeername: Transport endpoint is not connected
 2017-06-13 15:58:24 ERROR: getpeername: Transport endpoint is not connected
 2017-06-13 15:58:27 ERROR: getpeername: Transport endpoint is not connected
 2017-06-13 15:58:27 ERROR: getpeername: Transport endpoint is not connected
 2017-06-13 15:58:30 ERROR: getpeername: Transport endpoint is not connected
 2017-06-13 15:58:33 ERROR: getpeername: Transport endpoint is not connected
 2017-06-13 15:58:36 ERROR: getpeername: Transport endpoint is not connected
 2017-06-13 16:05:45 ERROR: getpeername: Transport endpoint is not connected
 2017-06-13 16:05:48 ERROR: getpeername: Transport endpoint is not connected
 2017-06-13 16:05:51 ERROR: getpeername: Transport endpoint is not connected
 2017-06-13 16:05:54 ERROR: getpeername: Transport endpoint is not connected
 2017-06-13 16:05:57 ERROR: getpeername: Transport endpoint is not connected
 2017-06-13 16:06:00 ERROR: getpeername: Transport endpoint is not connected
 2017-06-13 16:06:03 ERROR: getpeername: Transport endpoint is not connected
 2017-06-13 16:06:06 ERROR: getpeername: Transport endpoint is not connected
 2017-06-13 16:06:09 ERROR: getpeername: Transport endpoint is not connected
 2017-06-13 16:06:12 ERROR: getpeername: Transport endpoint is not connected
 2017-06-13 16:06:22 ERROR: remote_recv_cb_recv: Connection reset by peer
 2017-06-13 16:10:57 ERROR: remote_recv_cb_recv: Connection reset by peer
 2017-06-13 16:11:07 ERROR: remote_recv_cb_recv: Connection reset by peer
 2017-06-13 16:11:27 ERROR: remote_recv_cb_recv: Connection reset by peer
 2017-06-13 16:12:07 ERROR: remote_recv_cb_recv: Connection reset by peer
 2017-06-13 16:13:27 ERROR: remote_recv_cb_recv: Connection reset by peer
 2017-06-13 16:16:10 ERROR: remote_recv_cb_recv: Connection reset by peer
 2017-06-13 16:21:30 ERROR: remote_recv_cb_recv: Connection reset by peer
 2017-06-13 16:29:45 ERROR: remote_recv_cb_recv: Connection reset by peer
 2017-06-13 16:32:10 ERROR: remote_recv_cb_recv: Connection reset by peer
 2017-06-13 16:43:48 ERROR: remote_recv_cb_recv: Connection reset by peer
 2017-06-13 16:43:49 ERROR: remote_recv_cb_recv: Connection reset by peer
 2017-06-13 17:17:05 ERROR: remote_recv_cb_recv: Connection reset by peer
 2017-06-13 17:17:15 ERROR: remote_recv_cb_recv: Connection reset by peer
 2017-06-13 17:17:35 ERROR: remote_recv_cb_recv: Connection reset by peer
 2017-06-13 17:18:15 ERROR: remote_recv_cb_recv: Connection reset by peer
 2017-06-13 17:19:35 ERROR: remote_recv_cb_recv: Connection reset by peer
 2017-06-13 17:22:15 ERROR: remote_recv_cb_recv: Connection reset by peer
 2017-06-13 17:23:57 ERROR: remote_recv_cb_recv: Connection reset by peer
 2017-06-13 17:23:57 ERROR: remote_recv_cb_recv: Connection reset by peer
 2017-06-13 17:27:35 ERROR: remote_recv_cb_recv: Connection reset by peer
 2017-06-13 17:29:47 ERROR: remote_recv_cb_recv: Connection reset by peer
 2017-06-13 17:29:47 ERROR: remote_recv_cb_recv: Connection reset by peer
 2017-06-13 17:30:12 ERROR: getpeername: Transport endpoint is not connected
 2017-06-13 17:30:12 ERROR: getpeername: Transport endpoint is not connected
 2017-06-13 17:30:12 ERROR: getpeername: Transport endpoint is not connected
 2017-06-13 17:30:12 ERROR: remote_recv_cb_recv: Connection reset by peer
 2017-06-13 17:30:12 ERROR: getpeername: Transport endpoint is not connected
 2017-06-13 17:30:12 ERROR: getpeername: Transport endpoint is not connected
 2017-06-13 17:30:12 ERROR: getpeername: Transport endpoint is not connected
 2017-06-13 17:30:12 ERROR: remote_recv_cb_recv: Connection reset by peer
 2017-06-13 17:30:12 ERROR: remote_recv_cb_recv: Connection reset by peer
 2017-06-13 17:30:12 ERROR: remote_recv_cb_recv: Connection reset by peer
 2017-06-13 17:30:12 ERROR: remote_recv_cb_recv: Connection reset by peer
 2017-06-13 17:30:13 ERROR: getpeername: Transport endpoint is not connected
 2017-06-13 17:30:13 ERROR: remote_recv_cb_recv: Connection reset by peer
 2017-06-13 17:30:14 ERROR: getpeername: Transport endpoint is not connected
 2017-06-13 17:30:14 ERROR: remote_recv_cb_recv: Connection reset by peer
 2017-06-13 17:30:15 ERROR: getpeername: Transport endpoint is not connected
 2017-06-13 17:30:15 ERROR: remote_recv_cb_recv: Connection reset by peer
 2017-06-13 17:30:16 ERROR: getpeername: Transport endpoint is not connected
 2017-06-13 17:30:16 ERROR: remote_recv_cb_recv: Connection reset by peer
 2017-06-13 17:30:17 ERROR: getpeername: Transport endpoint is not connected
 2017-06-13 17:30:17 ERROR: remote_recv_cb_recv: Connection reset by peer
 2017-06-13 17:30:18 ERROR: getpeername: Transport endpoint is not connected
 2017-06-13 17:30:18 ERROR: remote_recv_cb_recv: Connection reset by peer
 2017-06-13 17:30:19 ERROR: getpeername: Transport endpoint is not connected
 2017-06-13 17:30:19 ERROR: remote_recv_cb_recv: Connection reset by peer
 2017-06-13 17:30:20 ERROR: getpeername: Transport endpoint is not connected
 2017-06-13 17:30:20 ERROR: remote_recv_cb_recv: Connection reset by peer
 2017-06-13 17:30:21 ERROR: getpeername: Transport endpoint is not connected
 2017-06-13 17:30:21 ERROR: remote_recv_cb_recv: Connection reset by peer
 2017-06-13 17:30:22 ERROR: getpeername: Transport endpoint is not connected
 2017-06-13 17:30:22 ERROR: remote_recv_cb_recv: Connection reset by peer
 2017-06-13 17:30:23 ERROR: getpeername: Transport endpoint is not connected
 2017-06-13 17:30:23 ERROR: remote_recv_cb_recv: Connection reset by peer
 2017-06-13 17:30:24 ERROR: remote_recv_cb_recv: Connection reset by peer
 2017-06-13 17:30:24 ERROR: getpeername: Transport endpoint is not connected
 2017-06-13 17:30:25 ERROR: getpeername: Transport endpoint is not connected
 2017-06-13 17:30:25 ERROR: remote_recv_cb_recv: Connection reset by peer
 2017-06-13 17:30:26 ERROR: getpeername: Transport endpoint is not connected
 2017-06-13 17:30:26 ERROR: remote_recv_cb_recv: Connection reset by peer
 2017-06-13 17:30:27 ERROR: getpeername: Transport endpoint is not connected
 2017-06-13 17:30:27 ERROR: remote_recv_cb_recv: Connection reset by peer
 2017-06-13 17:30:28 ERROR: getpeername: Transport endpoint is not connected
 2017-06-13 17:30:28 ERROR: remote_recv_cb_recv: Connection reset by peer
 2017-06-13 17:30:29 ERROR: getpeername: Transport endpoint is not connected
 2017-06-13 17:30:29 ERROR: remote_recv_cb_recv: Connection reset by peer
 2017-06-13 17:30:30 ERROR: getpeername: Transport endpoint is not connected
 2017-06-13 17:30:30 ERROR: remote_recv_cb_recv: Connection reset by peer
 2017-06-13 17:30:31 ERROR: getpeername: Transport endpoint is not connected
 2017-06-13 17:30:31 ERROR: remote_recv_cb_recv: Connection reset by peer
 2017-06-13 17:30:32 ERROR: remote_recv_cb_recv: Connection reset by peer
 2017-06-13 17:30:32 ERROR: getpeername: Transport endpoint is not connected
 2017-06-13 17:30:33 ERROR: getpeername: Transport endpoint is not connected
 2017-06-13 17:30:33 ERROR: remote_recv_cb_recv: Connection reset by peer
 2017-06-13 17:30:34 ERROR: remote_recv_cb_recv: Connection reset by peer
 2017-06-13 17:30:34 ERROR: getpeername: Transport endpoint is not connected
 2017-06-13 17:30:35 ERROR: remote_recv_cb_recv: Connection reset by peer
 2017-06-13 17:30:35 ERROR: getpeername: Transport endpoint is not connected
 2017-06-13 17:30:35 ERROR: getpeername: Transport endpoint is not connected
 2017-06-13 17:38:15 ERROR: getpeername: Transport endpoint is not connected
 2017-06-13 17:38:15 ERROR: getpeername: Transport endpoint is not connected
 2017-06-13 17:38:15 ERROR: getpeername: Transport endpoint is not connected
 2017-06-13 17:38:15 ERROR: getpeername: Transport endpoint is not connected
